,root,scale_type,common_name,brightness,contains_root,notes
18,E,harmonic_minor,Mixolydian #1,2,False,"[4, 6, 7, 9, 11, 0, 3]"
8,E,melodic_minor,Ionian #1,3,False,"[4, 6, 7, 9, 11, 1, 3]"
14,Bb,melodic_minor,Phrygian b1,9,False,"[10, 0, 1, 3, 5, 7, 9]"
29,F,harmonic_major,Aeolian b1,10,False,"[5, 7, 9, 10, 0, 1, 4]"
23,Eb,harmonic_minor,Altered b7,-5,True,"[3, 5, 6, 8, 10, 11, 2]"
31,Eb,harmonic_major,Locrian b7,-4,True,"[3, 5, 7, 8, 10, 11, 2]"
15,Eb,melodic_minor,Altered,-4,True,"[3, 5, 6, 8, 10, 0, 2]"
30,Bb,harmonic_major,Phrygian b4,-3,True,"[10, 0, 2, 3, 5, 6, 9]"
6,Eb,major,Locrian,-3,True,"[3, 5, 7, 8, 10, 0, 2]"
22,C,harmonic_minor,Locrian #6,-2,True,"[0, 2, 3, 5, 7, 8, 11]"
5,Bb,major,Phrygian,-2,True,"[10, 0, 2, 3, 5, 7, 9]"
13,F,melodic_minor,Aeolian b5,-2,True,"[5, 7, 8, 10, 0, 2, 4]"
28,C,harmonic_major,Dorian b5,-1,True,"[0, 2, 4, 5, 7, 8, 11]"
21,G,harmonic_minor,Phrygian #3,-1,True,"[7, 9, 10, 0, 2, 3, 6]"
4,F,major,Aeolian,-1,True,"[5, 7, 9, 10, 0, 2, 4]"
12,C,melodic_minor,Dorian b2,-1,True,"[0, 2, 3, 5, 7, 9, 11]"
27,G,harmonic_major,Mixolydian b2,0,True,"[7, 9, 11, 0, 2, 3, 6]"
20,D,harmonic_minor,Harmonic Minor,0,True,"[2, 4, 5, 7, 9, 10, 1]"
3,C,major,Dorian,0,True,"[0, 2, 4, 5, 7, 9, 11]"
11,G,melodic_minor,Mixolydian b6,0,True,"[7, 9, 10, 0, 2, 4, 6]"
26,D,harmonic_major,Harmonic major,1,True,"[2, 4, 6, 7, 9, 10, 1]"
19,A,harmonic_minor,Dorian #4,1,True,"[9, 11, 0, 2, 4, 5, 8]"
2,G,major,Mixolydian,1,True,"[7, 9, 11, 0, 2, 4, 6]"
10,D,melodic_minor,Melodic Minor,1,True,"[2, 4, 5, 7, 9, 11, 1]"
25,A,harmonic_major,Lydian b3,2,True,"[9, 11, 1, 2, 4, 5, 8]"
1,D,major,Ionian,2,True,"[2, 4, 6, 7, 9, 11, 1]"
9,A,melodic_minor,Lydian Dominant,2,True,"[9, 11, 0, 2, 4, 6, 8]"
17,B,harmonic_minor,Ionian #5,3,True,"[11, 1, 2, 4, 6, 7, 10]"
0,A,major,Lydian,3,True,"[9, 11, 1, 2, 4, 6, 8]"
16,F#,harmonic_minor,Lydian #2,4,True,"[6, 8, 9, 11, 1, 2, 5]"
7,B,melodic_minor,Lydian #5,4,True,"[11, 1, 2, 4, 6, 8, 10]"
24,F#,harmonic_major,Lydian #5 #2,5,True,"[6, 8, 10, 11, 1, 2, 5]"
