,extensions (pitch classes),compatible modes,parent scale types,brightness
0,"[0, 3, 6]__[0, 3, 6]",Altered b7; Locrian b7; Altered; Locrian; Locrian #6; Aeolian b5; Dorian b5; Dorian #4; Lydian b3; Lydian #2; Lydian #5 #2,harmonic_minor; harmonic_major; melodic_minor; major; harmonic_minor; melodic_minor; harmonic_major; harmonic_minor; harmonic_major; harmonic_minor; harmonic_major,"[-5, -4, -4, -3, -2, -2, -1, 1, 2, 4, 5]"
1,"[0, 3, 7]__[0, 3, 7]",Phrygian b4; Phrygian; Aeolian; Dorian b2; Harmonic Minor; Dorian; Dorian #4; Melodic Minor; Lydian b3; Lydian #2,harmonic_major; major; major; melodic_minor; harmonic_minor; major; harmonic_minor; melodic_minor; harmonic_major; harmonic_minor,"[-3, -2, -1, -1, 0, 0, 1, 1, 2, 4]"
2,"[0, 4, 7]__[0, 4, 7]",Phrygian b4; Phrygian #3; Mixolydian b2; Mixolydian b6; Harmonic major; Mixolydian; Ionian; Lydian Dominant; Lydian; Lydian #2,harmonic_major; harmonic_minor; harmonic_major; melodic_minor; harmonic_major; major; major; melodic_minor; major; harmonic_minor,"[-3, -1, 0, 0, 1, 1, 2, 2, 3, 4]"
3,"[0, 4, 8]__[0, 4, 8]",Altered b7; Altered; Phrygian b4; Phrygian #3; Mixolydian b6; Harmonic major; Ionian #5; Lydian #5; Lydian #5 #2,harmonic_minor; melodic_minor; harmonic_major; harmonic_minor; melodic_minor; harmonic_major; harmonic_minor; melodic_minor; harmonic_major,"[-5, -4, -3, -1, 0, 1, 3, 4, 5]"
4,"[0, 4, 8]__[4, 8, 0]",Altered b7; Altered; Phrygian b4; Phrygian #3; Mixolydian b6; Harmonic major; Ionian #5; Lydian #5; Lydian #5 #2,harmonic_minor; melodic_minor; harmonic_major; harmonic_minor; melodic_minor; harmonic_major; harmonic_minor; melodic_minor; harmonic_major,"[-5, -4, -3, -1, 0, 1, 3, 4, 5]"
5,"[0, 4, 8]__[8, 0, 4]",Altered b7; Altered; Phrygian b4; Phrygian #3; Mixolydian b6; Harmonic major; Ionian #5; Lydian #5; Lydian #5 #2,harmonic_minor; melodic_minor; harmonic_major; harmonic_minor; melodic_minor; harmonic_major; harmonic_minor; melodic_minor; harmonic_major,"[-5, -4, -3, -1, 0, 1, 3, 4, 5]"
6,"[0, 3, 6]__[3, 6, 9]",Altered b7; Locrian b7; Locrian #6; Dorian b5; Dorian #4; Lydian b3; Lydian #2; Lydian #5 #2,harmonic_minor; harmonic_major; harmonic_minor; harmonic_major; harmonic_minor; harmonic_major; harmonic_minor; harmonic_major,"[-5, -4, -2, -1, 1, 2, 4, 5]"
7,"[0, 3, 6]__[6, 9, 0]",Altered b7; Locrian b7; Locrian #6; Dorian b5; Dorian #4; Lydian b3; Lydian #2; Lydian #5 #2,harmonic_minor; harmonic_major; harmonic_minor; harmonic_major; harmonic_minor; harmonic_major; harmonic_minor; harmonic_major,"[-5, -4, -2, -1, 1, 2, 4, 5]"
8,"[0, 3, 6]__[9, 0, 3]",Altered b7; Locrian b7; Locrian #6; Dorian b5; Dorian #4; Lydian b3; Lydian #2; Lydian #5 #2,harmonic_minor; harmonic_major; harmonic_minor; harmonic_major; harmonic_minor; harmonic_major; harmonic_minor; harmonic_major,"[-5, -4, -2, -1, 1, 2, 4, 5]"
9,"[0, 4, 7]__[4, 7, 10]",Phrygian b4; Phrygian #3; Mixolydian b2; Mixolydian b6; Mixolydian; Lydian Dominant,harmonic_major; harmonic_minor; harmonic_major; melodic_minor; major; melodic_minor,"[-3, -1, 0, 0, 1, 2]"
10,"[0, 3, 7]__[3, 7, 10]",Phrygian b4; Phrygian; Aeolian; Dorian b2; Dorian; Dorian #4,harmonic_major; major; major; melodic_minor; major; harmonic_minor,"[-3, -2, -1, -1, 0, 1]"
11,"[0, 3, 7]__[9, 0, 3]",Dorian b2; Dorian; Dorian #4; Melodic Minor; Lydian b3; Lydian #2,melodic_minor; major; harmonic_minor; melodic_minor; harmonic_major; harmonic_minor,"[-1, 0, 1, 1, 2, 4]"
12,"[0, 3, 6]__[3, 6, 10]",Altered; Locrian; Locrian #6; Aeolian b5; Dorian b5; Dorian #4,melodic_minor; major; harmonic_minor; melodic_minor; harmonic_major; harmonic_minor,"[-4, -3, -2, -2, -1, 1]"
13,"[0, 4, 7]__[9, 0, 4]",Mixolydian b2; Mixolydian; Ionian; Lydian Dominant; Lydian; Lydian #2,harmonic_major; major; major; melodic_minor; major; harmonic_minor,"[0, 1, 2, 2, 3, 4]"
14,"[0, 3, 6]__[8, 0, 3]",Altered b7; Locrian b7; Altered; Locrian; Aeolian b5; Lydian #5 #2,harmonic_minor; harmonic_major; melodic_minor; major; melodic_minor; harmonic_major,"[-5, -4, -4, -3, -2, 5]"
15,"[0, 4, 7]__[0, 4, 8]",Phrygian b4; Phrygian #3; Mixolydian b6; Harmonic major,harmonic_major; harmonic_minor; melodic_minor; harmonic_major,"[-3, -1, 0, 1]"
16,"[0, 4, 7]__[4, 8, 0]",Phrygian b4; Phrygian #3; Mixolydian b6; Harmonic major,harmonic_major; harmonic_minor; melodic_minor; harmonic_major,"[-3, -1, 0, 1]"
17,"[0, 4, 7]__[8, 0, 4]",Phrygian b4; Phrygian #3; Mixolydian b6; Harmonic major,harmonic_major; harmonic_minor; melodic_minor; harmonic_major,"[-3, -1, 0, 1]"
18,"[0, 4, 8]__[0, 4, 7]",Phrygian b4; Phrygian #3; Mixolydian b6; Harmonic major,harmonic_major; harmonic_minor; melodic_minor; harmonic_major,"[-3, -1, 0, 1]"
19,"[0, 4, 8]__[5, 8, 0]",Phrygian #3; Mixolydian b6; Harmonic major; Ionian #5,harmonic_minor; melodic_minor; harmonic_major; harmonic_minor,"[-1, 0, 1, 3]"
20,"[0, 3, 7]__[8, 0, 3]",Phrygian b4; Phrygian; Aeolian; Harmonic Minor,harmonic_major; major; major; harmonic_minor,"[-3, -2, -1, 0]"
21,"[0, 3, 7]__[11, 3, 7]",Harmonic Minor; Melodic Minor; Lydian b3; Lydian #2,harmonic_minor; melodic_minor; harmonic_major; harmonic_minor,"[0, 1, 2, 4]"
22,"[0, 3, 7]__[3, 7, 11]",Harmonic Minor; Melodic Minor; Lydian b3; Lydian #2,harmonic_minor; melodic_minor; harmonic_major; harmonic_minor,"[0, 1, 2, 4]"
23,"[0, 3, 7]__[7, 11, 3]",Harmonic Minor; Melodic Minor; Lydian b3; Lydian #2,harmonic_minor; melodic_minor; harmonic_major; harmonic_minor,"[0, 1, 2, 4]"
24,"[0, 4, 8]__[8, 0, 3]",Altered b7; Altered; Phrygian b4; Lydian #5 #2,harmonic_minor; melodic_minor; harmonic_major; harmonic_major,"[-5, -4, -3, 5]"
25,"[0, 4, 8]__[9, 0, 4]",Altered b7; Ionian #5; Lydian #5; Lydian #5 #2,harmonic_minor; harmonic_minor; melodic_minor; harmonic_major,"[-5, 3, 4, 5]"
26,"[0, 4, 7]__[4, 7, 11]",Harmonic major; Ionian; Lydian; Lydian #2,harmonic_major; major; major; harmonic_minor,"[1, 2, 3, 4]"
27,"[0, 4, 8]__[1, 4, 8]",Altered b7; Altered; Phrygian b4; Phrygian #3,harmonic_minor; melodic_minor; harmonic_major; harmonic_minor,"[-5, -4, -3, -1]"
28,"[0, 4, 8]__[4, 8, 11]",Harmonic major; Ionian #5; Lydian #5; Lydian #5 #2,harmonic_major; harmonic_minor; melodic_minor; harmonic_major,"[1, 3, 4, 5]"
29,"[0, 3, 7]__[5, 9, 0]",Dorian b2; Dorian; Melodic Minor,melodic_minor; major; melodic_minor,"[-1, 0, 1]"
30,"[0, 3, 7]__[7, 10, 2]",Aeolian; Dorian; Dorian #4,major; major; harmonic_minor,"[-1, 0, 1]"
31,"[0, 4, 7]__[5, 8, 0]",Phrygian #3; Mixolydian b6; Harmonic major,harmonic_minor; melodic_minor; harmonic_major,"[-1, 0, 1]"
32,"[0, 3, 6]__[10, 2, 6]",Aeolian b5; Dorian b5; Dorian #4,melodic_minor; harmonic_major; harmonic_minor,"[-2, -1, 1]"
