,,"('C', 'major')","('D', 'major')","('Eb', 'major')","('F', 'major')","('G', 'major')","('A', 'major')","('Bb', 'major')","('C', 'melodic_minor')","('C', 'harmonic_major')","('C', 'harmonic_minor')","('C#', 'melodic_minor')","('C#', 'harmonic_major')","('C#', 'harmonic_minor')","('D', 'melodic_minor')","('D', 'harmonic_major')","('D', 'harmonic_minor')","('Eb', 'melodic_minor')","('Eb', 'harmonic_major')","('Eb', 'harmonic_minor')","('E', 'melodic_minor')","('E', 'harmonic_major')","('E', 'harmonic_minor')","('F', 'melodic_minor')","('F', 'harmonic_major')","('F', 'harmonic_minor')","('F#', 'melodic_minor')","('F#', 'harmonic_major')","('F#', 'harmonic_minor')","('G', 'melodic_minor')","('G', 'harmonic_major')","('G', 'harmonic_minor')","('Ab', 'melodic_minor')","('Ab', 'harmonic_major')","('Ab', 'harmonic_minor')","('A', 'melodic_minor')","('A', 'harmonic_major')","('A', 'harmonic_minor')","('Bb', 'melodic_minor')","('Bb', 'harmonic_major')","('Bb', 'harmonic_minor')","('B', 'melodic_minor')","('B', 'harmonic_major')","('B', 'harmonic_minor')"
C,major,7.0,5.0,4.0,6.0,6.0,4.0,5.0,6.0,6.0,5.0,2.0,3.0,3.0,6.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,6.0,4.0,4.0,3.0,3.0,3.0,4.0
D,major,5.0,7.0,2.0,4.0,6.0,6.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,6.0,6.0,5.0,2.0,3.0,3.0,6.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,6.0
Eb,major,4.0,2.0,7.0,5.0,3.0,2.0,6.0,5.0,5.0,6.0,4.0,4.0,3.0,3.0,3.0,4.0,6.0,6.0,5.0,2.0,3.0,3.0,6.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0
F,major,6.0,4.0,5.0,7.0,5.0,3.0,6.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,6.0,4.0,4.0,3.0,3.0,3.0,4.0,6.0,6.0,5.0,2.0,3.0,3.0,6.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0
G,major,6.0,6.0,3.0,5.0,7.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,6.0,4.0,4.0,3.0,3.0,3.0,4.0,6.0,6.0,5.0,2.0,3.0,3.0,6.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0
A,major,4.0,6.0,2.0,3.0,5.0,7.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,6.0,4.0,4.0,3.0,3.0,3.0,4.0,6.0,6.0,5.0,2.0,3.0,3.0,6.0,4.0,5.0
Bb,major,5.0,3.0,6.0,6.0,4.0,2.0,7.0,6.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,6.0,4.0,4.0,3.0,3.0,3.0,4.0,6.0,6.0,5.0,2.0,3.0,3.0
C,melodic_minor,6.0,4.0,5.0,5.0,5.0,3.0,6.0,7.0,5.0,6.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0
C,harmonic_major,6.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,7.0,6.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,6.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,3.0,3.0,2.0,4.0,3.0,4.0
C,harmonic_minor,5.0,3.0,6.0,4.0,4.0,3.0,5.0,6.0,6.0,7.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,6.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0
