,offset,atom_name,brightness,parent_scale_type,mode
0,+ 0,[],-4,melodic_minor,Altered
49,+ 0,[1],-4,melodic_minor,Altered
98,+ 0,[3],-4,melodic_minor,Altered
140,+ 0,[6],-4,melodic_minor,Altered
196,+ 0,[8],-4,melodic_minor,Altered
245,+ 0,"[1, 3]",-4,melodic_minor,Altered
273,+ 0,"[1, 6]",-4,melodic_minor,Altered
301,+ 0,"[1, 8]",-4,melodic_minor,Altered
392,+ 0,"[3, 6]",-4,melodic_minor,Altered
406,+ 0,"[3, 8]",-4,melodic_minor,Altered
483,+ 0,"[6, 8]",-4,melodic_minor,Altered
539,+ 0,"[1, 3, 6]",-4,melodic_minor,Altered
553,+ 0,"[1, 3, 8]",-4,melodic_minor,Altered
595,+ 0,"[1, 6, 8]",-4,melodic_minor,Altered
686,+ 0,"[3, 6, 8]",-4,melodic_minor,Altered
735,+ 0,"[1, 3, 6, 8]",-4,melodic_minor,Altered
1,+ 0,[],-3,harmonic_major,Phrygian b4
50,+ 0,[1],-3,harmonic_major,Phrygian b4
99,+ 0,[3],-3,harmonic_major,Phrygian b4
154,+ 0,[7],-3,harmonic_major,Phrygian b4
197,+ 0,[8],-3,harmonic_major,Phrygian b4
246,+ 0,"[1, 3]",-3,harmonic_major,Phrygian b4
280,+ 0,"[1, 7]",-3,harmonic_major,Phrygian b4
302,+ 0,"[1, 8]",-3,harmonic_major,Phrygian b4
399,+ 0,"[3, 7]",-3,harmonic_major,Phrygian b4
407,+ 0,"[3, 8]",-3,harmonic_major,Phrygian b4
497,+ 0,"[7, 8]",-3,harmonic_major,Phrygian b4
546,+ 0,"[1, 3, 7]",-3,harmonic_major,Phrygian b4
554,+ 0,"[1, 3, 8]",-3,harmonic_major,Phrygian b4
602,+ 0,"[1, 7, 8]",-3,harmonic_major,Phrygian b4
693,+ 0,"[3, 7, 8]",-3,harmonic_major,Phrygian b4
742,+ 0,"[1, 3, 7, 8]",-3,harmonic_major,Phrygian b4
2,+ 0,[],-1,harmonic_minor,Phrygian #3
51,+ 0,[1],-1,harmonic_minor,Phrygian #3
112,+ 0,[5],-1,harmonic_minor,Phrygian #3
155,+ 0,[7],-1,harmonic_minor,Phrygian #3
198,+ 0,[8],-1,harmonic_minor,Phrygian #3
259,+ 0,"[1, 5]",-1,harmonic_minor,Phrygian #3
281,+ 0,"[1, 7]",-1,harmonic_minor,Phrygian #3
303,+ 0,"[1, 8]",-1,harmonic_minor,Phrygian #3
420,+ 0,"[5, 7]",-1,harmonic_minor,Phrygian #3
448,+ 0,"[5, 8]",-1,harmonic_minor,Phrygian #3
498,+ 0,"[7, 8]",-1,harmonic_minor,Phrygian #3
567,+ 0,"[1, 5, 7]",-1,harmonic_minor,Phrygian #3
581,+ 0,"[1, 5, 8]",-1,harmonic_minor,Phrygian #3
603,+ 0,"[1, 7, 8]",-1,harmonic_minor,Phrygian #3
700,+ 0,"[5, 7, 8]",-1,harmonic_minor,Phrygian #3
749,+ 0,"[1, 5, 7, 8]",-1,harmonic_minor,Phrygian #3
3,+ 0,[],0,harmonic_major,Mixolydian b2
52,+ 0,[1],0,harmonic_major,Mixolydian b2
113,+ 0,[5],0,harmonic_major,Mixolydian b2
156,+ 0,[7],0,harmonic_major,Mixolydian b2
224,+ 0,[9],0,harmonic_major,Mixolydian b2
260,+ 0,"[1, 5]",0,harmonic_major,Mixolydian b2
282,+ 0,"[1, 7]",0,harmonic_major,Mixolydian b2
322,+ 0,"[1, 9]",0,harmonic_major,Mixolydian b2
421,+ 0,"[5, 7]",0,harmonic_major,Mixolydian b2
462,+ 0,"[5, 9]",0,harmonic_major,Mixolydian b2
518,+ 0,"[7, 9]",0,harmonic_major,Mixolydian b2
568,+ 0,"[1, 5, 7]",0,harmonic_major,Mixolydian b2
588,+ 0,"[1, 5, 9]",0,harmonic_major,Mixolydian b2
616,+ 0,"[1, 7, 9]",0,harmonic_major,Mixolydian b2
714,+ 0,"[5, 7, 9]",0,harmonic_major,Mixolydian b2
756,+ 0,"[1, 5, 7, 9]",0,harmonic_major,Mixolydian b2
4,+ 0,[],0,melodic_minor,Mixolydian b6
77,+ 0,[2],0,melodic_minor,Mixolydian b6
114,+ 0,[5],0,melodic_minor,Mixolydian b6
157,+ 0,[7],0,melodic_minor,Mixolydian b6
199,+ 0,[8],0,melodic_minor,Mixolydian b6
329,+ 0,"[2, 5]",0,melodic_minor,Mixolydian b6
350,+ 0,"[2, 7]",0,melodic_minor,Mixolydian b6
371,+ 0,"[2, 8]",0,melodic_minor,Mixolydian b6
422,+ 0,"[5, 7]",0,melodic_minor,Mixolydian b6
449,+ 0,"[5, 8]",0,melodic_minor,Mixolydian b6
499,+ 0,"[7, 8]",0,melodic_minor,Mixolydian b6
623,+ 0,"[2, 5, 7]",0,melodic_minor,Mixolydian b6
637,+ 0,"[2, 5, 8]",0,melodic_minor,Mixolydian b6
665,+ 0,"[2, 7, 8]",0,melodic_minor,Mixolydian b6
701,+ 0,"[5, 7, 8]",0,melodic_minor,Mixolydian b6
763,+ 0,"[2, 5, 7, 8]",0,melodic_minor,Mixolydian b6
5,+ 0,[],1,major,Mixolydian
78,+ 0,[2],1,major,Mixolydian
115,+ 0,[5],1,major,Mixolydian
158,+ 0,[7],1,major,Mixolydian
225,+ 0,[9],1,major,Mixolydian
330,+ 0,"[2, 5]",1,major,Mixolydian
351,+ 0,"[2, 7]",1,major,Mixolydian
378,+ 0,"[2, 9]",1,major,Mixolydian
423,+ 0,"[5, 7]",1,major,Mixolydian
463,+ 0,"[5, 9]",1,major,Mixolydian
519,+ 0,"[7, 9]",1,major,Mixolydian
624,+ 0,"[2, 5, 7]",1,major,Mixolydian
644,+ 0,"[2, 5, 9]",1,major,Mixolydian
672,+ 0,"[2, 7, 9]",1,major,Mixolydian
715,+ 0,"[5, 7, 9]",1,major,Mixolydian
770,+ 0,"[2, 5, 7, 9]",1,major,Mixolydian
6,+ 0,[],2,melodic_minor,Lydian Dominant
79,+ 0,[2],2,melodic_minor,Lydian Dominant
141,+ 0,[6],2,melodic_minor,Lydian Dominant
159,+ 0,[7],2,melodic_minor,Lydian Dominant
226,+ 0,[9],2,melodic_minor,Lydian Dominant
343,+ 0,"[2, 6]",2,melodic_minor,Lydian Dominant
352,+ 0,"[2, 7]",2,melodic_minor,Lydian Dominant
379,+ 0,"[2, 9]",2,melodic_minor,Lydian Dominant
476,+ 0,"[6, 7]",2,melodic_minor,Lydian Dominant
490,+ 0,"[6, 9]",2,melodic_minor,Lydian Dominant
520,+ 0,"[7, 9]",2,melodic_minor,Lydian Dominant
651,+ 0,"[2, 6, 7]",2,melodic_minor,Lydian Dominant
658,+ 0,"[2, 6, 9]",2,melodic_minor,Lydian Dominant
673,+ 0,"[2, 7, 9]",2,melodic_minor,Lydian Dominant
728,+ 0,"[6, 7, 9]",2,melodic_minor,Lydian Dominant
777,+ 0,"[2, 6, 7, 9]",2,melodic_minor,Lydian Dominant
