,extensions (pitch classes),compatible modes,parent scale types,brightness
0,[],Altered; Phrygian b4; Phrygian #3; Mixolydian b2; Mixolydian b6; Mixolydian; Lydian Dominant,melodic_minor; harmonic_major; harmonic_minor; harmonic_major; melodic_minor; major; melodic_minor,"[-4, -3, -1, 0, 0, 1, 2]"
1,[7],Phrygian b4; Phrygian #3; Mixolydian b2; Mixolydian b6; Mixolydian; Lydian Dominant,harmonic_major; harmonic_minor; harmonic_major; melodic_minor; major; melodic_minor,"[-3, -1, 0, 0, 1, 2]"
2,"[5, 7]",Phrygian #3; Mixolydian b2; Mixolydian b6; Mixolydian,harmonic_minor; harmonic_major; melodic_minor; major,"[-1, 0, 0, 1]"
3,[5],Phrygian #3; Mixolydian b2; Mixolydian b6; Mixolydian,harmonic_minor; harmonic_major; melodic_minor; major,"[-1, 0, 0, 1]"
4,[1],Altered; Phrygian b4; Phrygian #3; Mixolydian b2,melodic_minor; harmonic_major; harmonic_minor; harmonic_major,"[-4, -3, -1, 0]"
5,[8],Altered; Phrygian b4; Phrygian #3; Mixolydian b6,melodic_minor; harmonic_major; harmonic_minor; melodic_minor,"[-4, -3, -1, 0]"
6,"[2, 7]",Mixolydian b6; Mixolydian; Lydian Dominant,melodic_minor; major; melodic_minor,"[0, 1, 2]"
7,[2],Mixolydian b6; Mixolydian; Lydian Dominant,melodic_minor; major; melodic_minor,"[0, 1, 2]"
8,"[7, 9]",Mixolydian b2; Mixolydian; Lydian Dominant,harmonic_major; major; melodic_minor,"[0, 1, 2]"
9,[9],Mixolydian b2; Mixolydian; Lydian Dominant,harmonic_major; major; melodic_minor,"[0, 1, 2]"
10,"[1, 7]",Phrygian b4; Phrygian #3; Mixolydian b2,harmonic_major; harmonic_minor; harmonic_major,"[-3, -1, 0]"
11,"[7, 8]",Phrygian b4; Phrygian #3; Mixolydian b6,harmonic_major; harmonic_minor; melodic_minor,"[-3, -1, 0]"
12,"[1, 8]",Altered; Phrygian b4; Phrygian #3,melodic_minor; harmonic_major; harmonic_minor,"[-4, -3, -1]"
13,"[1, 5, 7]",Phrygian #3; Mixolydian b2,harmonic_minor; harmonic_major,"[-1, 0]"
14,"[1, 5]",Phrygian #3; Mixolydian b2,harmonic_minor; harmonic_major,"[-1, 0]"
15,"[2, 5, 7]",Mixolydian b6; Mixolydian,melodic_minor; major,"[0, 1]"
16,"[2, 5]",Mixolydian b6; Mixolydian,melodic_minor; major,"[0, 1]"
17,"[5, 7, 8]",Phrygian #3; Mixolydian b6,harmonic_minor; melodic_minor,"[-1, 0]"
18,"[5, 7, 9]",Mixolydian b2; Mixolydian,harmonic_major; major,"[0, 1]"
19,"[5, 8]",Phrygian #3; Mixolydian b6,harmonic_minor; melodic_minor,"[-1, 0]"
20,"[5, 9]",Mixolydian b2; Mixolydian,harmonic_major; major,"[0, 1]"
21,[6],Altered; Lydian Dominant,melodic_minor; melodic_minor,"[-4, 2]"
22,"[2, 7, 9]",Mixolydian; Lydian Dominant,major; melodic_minor,"[1, 2]"
23,"[2, 9]",Mixolydian; Lydian Dominant,major; melodic_minor,"[1, 2]"
24,"[1, 7, 8]",Phrygian b4; Phrygian #3,harmonic_major; harmonic_minor,"[-3, -1]"
25,"[1, 3, 8]",Altered; Phrygian b4,melodic_minor; harmonic_major,"[-4, -3]"
26,"[1, 3]",Altered; Phrygian b4,melodic_minor; harmonic_major,"[-4, -3]"
27,"[3, 8]",Altered; Phrygian b4,melodic_minor; harmonic_major,"[-4, -3]"
28,[3],Altered; Phrygian b4,melodic_minor; harmonic_major,"[-4, -3]"
29,"[1, 5, 7, 9]",Mixolydian b2,harmonic_major,[0]
30,"[1, 5, 9]",Mixolydian b2,harmonic_major,[0]
31,"[1, 7, 9]",Mixolydian b2,harmonic_major,[0]
32,"[1, 9]",Mixolydian b2,harmonic_major,[0]
33,"[2, 5, 7, 8]",Mixolydian b6,melodic_minor,[0]
34,"[2, 5, 8]",Mixolydian b6,melodic_minor,[0]
35,"[2, 7, 8]",Mixolydian b6,melodic_minor,[0]
36,"[2, 8]",Mixolydian b6,melodic_minor,[0]
37,"[1, 5, 7, 8]",Phrygian #3,harmonic_minor,[-1]
38,"[1, 5, 8]",Phrygian #3,harmonic_minor,[-1]
39,"[2, 5, 7, 9]",Mixolydian,major,[1]
40,"[2, 5, 9]",Mixolydian,major,[1]
41,"[2, 6, 7, 9]",Lydian Dominant,melodic_minor,[2]
42,"[2, 6, 7]",Lydian Dominant,melodic_minor,[2]
43,"[2, 6, 9]",Lydian Dominant,melodic_minor,[2]
44,"[2, 6]",Lydian Dominant,melodic_minor,[2]
45,"[6, 7, 9]",Lydian Dominant,melodic_minor,[2]
46,"[6, 7]",Lydian Dominant,melodic_minor,[2]
47,"[6, 9]",Lydian Dominant,melodic_minor,[2]
48,"[1, 3, 7, 8]",Phrygian b4,harmonic_major,[-3]
49,"[1, 3, 7]",Phrygian b4,harmonic_major,[-3]
50,"[3, 7, 8]",Phrygian b4,harmonic_major,[-3]
51,"[3, 7]",Phrygian b4,harmonic_major,[-3]
52,"[1, 3, 6, 8]",Altered,melodic_minor,[-4]
53,"[1, 3, 6]",Altered,melodic_minor,[-4]
54,"[1, 6, 8]",Altered,melodic_minor,[-4]
55,"[1, 6]",Altered,melodic_minor,[-4]
56,"[3, 6, 8]",Altered,melodic_minor,[-4]
57,"[3, 6]",Altered,melodic_minor,[-4]
58,"[6, 8]",Altered,melodic_minor,[-4]
